plot_index,plot_desc,plot_date,plot_lat,plot_long,plot_depth_1,plot_depth_2,plot_depth_3,plot_depth_4,plot_depth_mean,plot_desc,empty,notes,L_count,P_count,A_count,total_BCMs,plot_lat_decimal,plot_long_decimal,dist_to_crest_m,dist_to_channel_m,perc_coral_heads,general_substrate,padina_present,sarg_present,turb_present,hal_present,bcm_index,bcm_species,bcm_substrate,bcm_length
1,north_barrier,10/28/19,17˚28’50.0”S,149˚50’00.0”W,170,140,160,160,157.5,,y,,0,0,0,0,-17.480556,-149.833333,383,364,,,,,,,,,,
2,north_barrier,10/28/19,17˚29’00.0”S,149˚50’00.0”W,250,,,,250,,y,,0,0,0,0,-17.483333,-149.833333,659,66,,,,,,,,,,
3,gump_fringing,10/29/19,17˚29’25”S,149˚49’33.5”W,60,80,90,70,75,sandy + abundant padina,y,,0,0,0,0,-17.490278,-149.825972,,24,0,sand,1,0,0,0,0,,,
4,gump_fringing,10/29/19,17˚29’21”S,149˚49’33.5”W,75,75,75,75,75,sandy+ abundant padina,n,,2,0,0,2,-17.489167,-149.825972,,27,0,sand,1,0,0,0,0,,,
4,gump_fringing,10/29/19,17˚29’21”S,149˚49’33.5”W,75,75,75,75,75,sandy+ abundant padina,n,,2,0,0,2,-17.489167,-149.825972,,27,0,sand,1,0,0,0,1,l,dc,4
4,gump_fringing,10/29/19,17˚29’21”S,149˚49’33.5”W,75,75,75,75,75,sandy+ abundant padina,n,,2,0,0,2,-17.489167,-149.825972,,27,0,sand,1,0,0,0,2,l,dc,6
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,0,,,
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,1,l,hal,3
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,2,l,hal,5
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,3,l,hal,5
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,4,l,dc,3
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,5,l,dc,4
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,6,l,dc,2
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,7,l,dc,3
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,8,l,dc,8
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,9,l,dc,3
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,10,l,dc,2
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,11,l,dc,2
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,12,l,dc,4
