date,days_elapsed,treatment,species,mat_index,length_1,length_2,diameter
11/11/19,0,north_fringe,p,1,4,4,4
11/11/19,0,north_fringe,p,2,4,3,3.5
11/11/19,0,north_fringe,p,3,4,3,3.5
11/11/19,0,north_fringe,p,4,3,3,3
11/11/19,0,north_fringe,p,5,3,3,3
11/11/19,0,north_fringe,p,6,4,3,3.5
11/11/19,0,fringe_corner,p,7,4,3,3.5
11/11/19,0,fringe_corner,p,8,4,3,3.5
11/11/19,0,fringe_corner,p,9,3,3,3
11/11/19,0,fringe_corner,p,10,3,3,3
11/11/19,0,fringe_corner,p,11,4,3,3.5
11/11/19,0,fringe_corner,p,12,4,3,3.5
11/11/19,0,stream_outlet,p,13,4,4,4
11/11/19,0,stream_outlet,p,14,4,3,3.5
11/11/19,0,stream_outlet,p,15,4,3,3.5
11/11/19,0,stream_outlet,p,16,4,3,3.5
11/11/19,0,stream_outlet,p,17,3,3,3
11/11/19,0,stream_outlet,p,18,4,2,3
11/11/19,0,stream_outlet,p,19,4,3,3.5
11/11/19,0,p_in-situ,p,20,6,5,5.5
11/11/19,0,p_in-situ,p,21,6,8,7
11/11/19,0,p_in-situ,p,22,6,14,10
11/11/19,0,p_in-situ,p,23,9,11,10
11/11/19,0,p_in-situ,p,24,5,6,5.5
11/11/19,0,p_in-situ,p,25,4,6,5
11/11/19,0,p_in-situ,p,26,4,7,5.5
11/11/19,0,p_in-situ,p,27,7,7,7
11/11/19,0,p_in-situ,p,28,6,6,6
11/11/19,0,p_in-situ,p,29,4,5,4.5
11/11/19,0,l_in-situ,l,30,1,2,1.5
11/11/19,0,l_in-situ,l,31,1,3,2
11/11/19,0,l_in-situ,l,32,3,2,2.5
11/11/19,0,l_in-situ,l,33,2,1,1.5
11/11/19,0,l_in-situ,l,34,2,1,1.5
11/11/19,0,l_in-situ,l,35,2,1,1.5
11/11/19,0,l_in-situ,l,36,1,1,1
11/11/19,0,l_in-situ,l,37,1,1,1
11/11/19,0,l_in-situ,l,38,2,1,1.5
11/11/19,0,l_in-situ,l,39,2,3,2.5
11/11/19,2,north_fringe,p,1,1,1,
11/11/19,2,north_fringe,p,2,4,3,3.5
11/13/19,2,north_fringe,p,3,5,3,4
11/13/19,2,north_fringe,p,4,3,3,3
11/13/19,2,north_fringe,p,5,4,4,4
11/13/19,2,north_fringe,p,6,3,4,3.5
11/13/19,2,fringe_corner,p,7,4,3,3.5
11/13/19,2,fringe_corner,p,8,4,3,3.5
11/13/19,2,fringe_corner,p,9,4,3,3.5
11/13/19,2,fringe_corner,p,10,3,3,3
11/13/19,2,fringe_corner,p,11,4,3,3.5
11/13/19,2,fringe_corner,p,12,4,3,3.5
11/13/19,2,stream_outlet,p,13,4,3,3.5
11/13/19,2,stream_outlet,p,14,4,2,3
11/13/19,2,stream_outlet,p,15,3,4,3.5
11/13/19,2,stream_outlet,p,16,3,4,3.5
11/13/19,2,stream_outlet,p,17,3,3,3
11/13/19,2,stream_outlet,p,18,,,
11/13/19,2,stream_outlet,p,19,4,3,3.5
11/13/19,2,p_in-situ,p,20,5,6,5.5
11/13/19,2,p_in-situ,p,21,6,9,7.5
11/13/19,2,p_in-situ,p,22,7,14,10.5
11/13/19,2,p_in-situ,p,23,9,11,10
11/13/19,2,p_in-situ,p,24,5,7,6
11/13/19,2,p_in-situ,p,25,4,6,5
11/13/19,2,p_in-situ,p,26,4,7,5.5
11/13/19,2,p_in-situ,p,27,6,8,7
11/13/19,2,p_in-situ,p,28,5,8,6.5
11/13/19,2,p_in-situ,p,29,4,6,5
11/13/19,2,l_in-situ,l,30,2,1,1.5
11/13/19,2,l_in-situ,l,31,1,3,2
11/13/19,2,l_in-situ,l,32,3,2,2.5
11/13/19,2,l_in-situ,l,33,2,1,1.5
11/13/19,2,l_in-situ,l,34,2,1,1.5
11/13/19,2,l_in-situ,l,35,1,2,1.5
11/13/19,2,l_in-situ,l,36,1,1,1
11/13/19,2,l_in-situ,l,37,1,1,1
11/13/19,2,l_in-situ,l,38,1,2,1.5
11/13/19,2,l_in-situ,l,39,2,2,2
11/16/19,5,north_fringe,p,1,1,1,
11/16/19,5,north_fringe,p,2,3,4,3.5
11/16/19,5,north_fringe,p,3,5,3,4
11/16/19,5,north_fringe,p,4,3,3,3
11/16/19,5,north_fringe,p,5,4,4,4
11/16/19,5,north_fringe,p,6,4,3,3.5
11/16/19,5,fringe_corner,p,7,5,4,4.5
11/16/19,5,fringe_corner,p,8,5,3,4
11/16/19,5,fringe_corner,p,9,4,2,3
