plot_index,plot_desc,plot_date,plot_lat,plot_long,plot_depth_1,plot_depth_2,plot_depth_3,plot_depth_4,plot_depth_mean,plot_desc,empty,notes,L_count,P_count,A_count,total_BCMs,plot_lat_decimal,plot_long_decimal,dist_to_crest_m,dist_to_channel_m,perc_coral_heads,general_substrate,padina_present,sarg_present,turb_present,hal_present,turbidity,should_use,richness,L_bool,P_bool,A_bool,beta_w
1,north_barrier,10/28/19,17˚28’50.0”S,149˚50’00.0”W,170,140,160,160,157.5,,y,,0,0,0,0,-17.480556,-149.833333,383,364,,,,,,,med-low,omit,0,0,0,0,-1
2,north_barrier,10/28/19,17˚29’00.0”S,149˚50’00.0”W,250,,,,250,,y,,0,0,0,0,-17.483333,-149.833333,659,66,,,,,,,med-low,omit,0,0,0,0,-1
3,gump_fringing,10/29/19,17˚29’25”S,149˚49’33.5”W,60,80,90,70,75,sandy + abundant padina,y,,0,0,0,0,-17.490278,-149.825972,,24,0,sand,1,0,0,0,high,use,1,0,0,0,-0.441860465
4,gump_fringing,10/29/19,17˚29’21”S,149˚49’33.5”W,75,75,75,75,75,sandy+ abundant padina,n,,2,0,0,2,-17.489167,-149.825972,,27,0,sand,1,0,0,0,high,use,2,1,0,0,0.105882353
5,gump_fringing,10/29/19,17˚29’17”S,149˚49’33.5”W,70,70,70,65,68.75,sandy+ abundant padina,n,,18,0,0,18,-17.488056,-149.825972,,76,0,sand,1,0,0,0,high,use,2,1,0,0,0.108433735
6,north_barrier,10/30/19,17˚28’59.6”S,149˚49’50.0”W,200,200,210,220,207.5,sandy+ barren+ no DC,y,,0,0,0,0,-17.483222,-149.830556,627,4,0,sand,0,0,0,0,med-high,omit,0,0,0,0,-1
7,north_barrier,10/30/19,17˚28’49.9”S,149˚49’50.0”W,220,220,230,220,222.5,50% DC coverage+ else sandy,y,,0,0,0,0,-17.480528,-149.830556,332,290,50,sand,0,0,0,0,low,use,0,0,0,0,-1
8,north_barrier,10/30/19,17˚28’40.0”S,149˚49’50.0”W,90,100,80,75,86.25,algal dominated+ 20% coral,y,,0,0,0,0,-17.477778,-149.830556,597,27,20,sand,0,1,1,0,low,use,2,0,0,0,0.061728395
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,low,use,2,1,1,0,0.063291139
10,gump_fringing,10/30/19,17˚29’13.4”S,149˚49’33.8”W,60,60,65,60,61.25,shallow+ rocky (DC cemented),n,,2,0,0,2,-17.487056,-149.826056,,27,0,dc_cemented,0,0,0,0,high,use,1,1,0,0,-0.467532468
11,north_barrier,11/3/19,17˚29’0.7”S,149˚50’19.9”W,380,340,370,300,347.5,sandy+ otherwise barren,?,50% coverage of UK cyano,0,0,0,0,-17.483528,-149.838861,791,50,0,sand,0,0,0,0,med-high,omit,0,0,0,0,-1
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,med-high,use,2,0,1,1,0.026315789
13,north_barrier,11/3/19,17˚28’51.1”S,149˚50’20.4”W,220,270,180,160,207.5,”just turbinaria”,y,,0,0,0,0,-17.480861,-149.839,84,494,0,sand,0,0,1,0,low,use,1,0,0,0,-0.486486486
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,low,use,4,1,0,1,1.02739726
15,north_barrier,11/3/19,17˚28’40.0”S,149˚49’50.0”W,200,190,170,80,160,,n,,0,2,0,2,-17.477778,-149.830556,33,587,,,,,,,low,use,1,0,1,0,-0.47826087
16,paopao_fringe,11/4/19,17˚30’0.1”S,149˚49’4.9”W,95,100,100,100,98.75,lots of Hal+ pad,n,,1,0,0,1,-17.500028,-149.818028,,23,0,sand,1,0,0,1,high,use,3,1,0,0,0.544117647
17,paopao_fringe,11/4/19,17˚29’50.3”S,149˚49’4.6”W,90,80,100,,90,sandy+ lots of Pad,n,,3,6,0,9,-17.497306,-149.817944,,12,0,sand,1,0,0,0,high,use,3,1,1,0,0.569230769
18,paopao_fringe,11/4/19,17˚29’40.0”S,149˚49’5.2”W,80,90,90,90,87.5,sandy+ lots of Pad+ 10% dc,y,,0,0,0,0,-17.494444,-149.818111,,51,10,sand,1,0,0,0,high,use,1,0,0,0,-0.467741935
19,paopao_fringe,11/4/19,17˚29’29.8”S,149˚49’5.3”W,90,95,60,90,83.75,50% dc cover+ pad,y,,0,0,0,0,-17.491611,-149.818139,,7,50,sand,1,0,0,0,high,use,1,0,0,0,-0.475409836
20,paopao_fringe,11/4/19,17˚29’17.6”S,149˚49’7.2”W,120,180,60,120,120,90% dc+ lots of turb+ sarg,y,,0,0,0,0,-17.488222,-149.818667,,25,90,dc_heads,0,1,1,0,high,use,2,0,0,0,0.033333333
